,Mar_2014,Sept_2013,Diff,Ratio
U/B CROSS ST,375,27.0,348.0,13.88888888888889
1000 CHARLES ST,285,23.0,262.0,12.391304347826088
U/B SOUTH ST,286,45.0,241.0,6.355555555555555
1700 THAMES ST,278,43.0,235.0,6.465116279069767
1200 CHARLES ST,271,54.0,217.0,5.018518518518518
700 BROADWAY,229,21.0,208.0,10.904761904761905
400 LOT JFA,198,0.0,198.0,inf
U/B CALVERT ST,232,48.0,184.0,4.833333333333333
1000 LIGHT ST,194,14.0,180.0,13.857142857142858
800 BROADWAY,202,22.0,180.0,9.181818181818182
U/B PACA ST,215,44.0,171.0,4.886363636363637
U/B GAY ST,196,27.0,169.0,7.2592592592592595
700 CENTRAL AVE,188,26.0,162.0,7.230769230769231
U/B COMMERCE ST,202,53.0,149.0,3.811320754716981
1100 LIGHT ST,145,12.0,133.0,12.083333333333334
1600 THAMES ST,147,15.0,132.0,9.8
1100 CHARLES ST,144,25.0,119.0,5.76
800 ALICEANNA ST,135,16.0,119.0,8.4375
900 CHARLES ST,130,12.0,118.0,10.833333333333334
1300 CHARLES ST,135,20.0,115.0,6.75
3200 LOT WAVERLY,114,0.0,114.0,inf
300 CALVERT ST,144,32.0,112.0,4.5
5100 ROLAND AVE,114,3.0,111.0,38.0
U/B READ ST,141,32.0,109.0,4.40625
200 BROADWAY,113,6.0,107.0,18.833333333333332
